Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,112,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,1467,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,11,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,19,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,165,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,115,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,23,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,25,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,2,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,79,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,26,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,130,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,23,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,122,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,18,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,1118,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,15230,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,6601,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,761,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,82,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,198,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,5,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,24,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,FEB,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,18,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,84,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,2466,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,FMUA,Mexico,Title 42,Expulsions,1547,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,233,,,,,,,,,,,,
2020,FYTD,FEB,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,324,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,295,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,261,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,612,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,105,,,,,,,,,,,,
2020,FYTD,APR,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,6,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,1886,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,57,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3039,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,13,,,,,,,,,,,,
2019,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,947,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,25,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,3,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,4110,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,215,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,16,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,54,,,,,,,,,,,,
2019,FYTD,JUN,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,14332,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,2245,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,36136,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,65,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1997,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,33,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,3,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,631,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,213,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,73,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,8129,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,157,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,784,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,3313,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,14415,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,23,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,3971,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,280,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,935,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,2981,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,139,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,16,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,1661,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,830,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,65,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,28,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,200,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,835,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,76,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,5,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2739,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,107,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,41,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,60,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,26,,,,,,,,,,,,
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 8,Apprehensions,346,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,27,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4982,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,923,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2187,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,16,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,168,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Accompanied Minors,Guatemala,Title 42,Expulsions,2,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,2042,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,780,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,64,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1904,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,60046,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,209,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,Accompanied Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,Single Adults,Mexico,Title 8,Inadmissibles,2870,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,7,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,554,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,UC / Single Minors,Honduras,Title 42,Expulsions,1,,,,,,,,,,,,
2019,FYTD,FEB,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,69,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,69,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,60,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,1952,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Mexico,Title 42,Expulsions,54,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,129,,,,,,,,,,,,
2020,FYTD,FEB,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,35,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,12130,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,50,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,4,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,60,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,2116,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1602,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,4,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,11010,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1757,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,408,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,39,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,15,,,,,,,,,,,,
2020,FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2093,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,4,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1599,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,Single Adults,Other,Title 42,Expulsions,43,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,849,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,15,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,460,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,91,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,69,,,,,,,,,,,,
2019,FYTD,OCT,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,3830,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,72,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,232,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,1821,,,,,,,,,,,,
2021,FYTD,MAY,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,257,,,,,,,,,,,,
2019,FYTD,NOV,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,90,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,86,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2810,,,,,,,,,,,,
2019,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,22828,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,1599,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Single Adults,El Salvador,Title 42,Expulsions,8,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,2,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,11,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2496,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,3,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,705,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,93,,,,,,,,,,,,
2020,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,29,,,,,,,,,,,,
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,941,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,168,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,15388,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Other,Title 42,Expulsions,8234,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,61,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,266,,,,,,,,,,,,
2020,FYTD,SEP,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,31081,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,17,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,2068,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,2535,,,,,,,,,,,,
2020,FYTD,DEC,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2872,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,6,,,,,,,,,,,,
2020,FYTD,MAR,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,1,,,,,,,,,,,,
2019,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,4552,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,13,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,192,,,,,,,,,,,,
2020,FYTD,JUL,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,15,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,92,,,,,,,,,,,,
2019,FYTD,AUG,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,2805,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,81,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,5225,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,5221,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2021,FYTD,SEP,U.S. Border Patrol,FMUA,El Salvador,Title 42,Expulsions,1714,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,798,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,FMUA,Honduras,Title 8,Apprehensions,20913,,,,,,,,,,,,
2021,FYTD,FEB,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,345,,,,,,,,,,,,
2020,FYTD,OCT,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,254,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,10,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,101,,,,,,,,,,,,
2019,FYTD,DEC,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,31,,,,,,,,,,,,
2021,FYTD,DEC,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,9,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,681,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,9,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Honduras,Title 42,Expulsions,3189,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Honduras,Title 42,Expulsions,240,,,,,,,,,,,,
2021,FYTD,JUL,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,12550,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,3821,,,,,,,,,,,,
2020,FYTD,AUG,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,20,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,Single Adults,Mexico,Title 8,Apprehensions,14830,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,62,,,,,,,,,,,,
2020,FYTD,APR,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,442,,,,,,,,,,,,
2020,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,21,,,,,,,,,,,,
2020,FYTD,JUN,U.S. Border Patrol,UC / Single Minors,Other,Title 42,Expulsions,9,,,,,,,,,,,,
2019,FYTD,JAN,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,9,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Guatemala,Title 42,Expulsions,15186,,,,,,,,,,,,
2019,FYTD,MAY,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,5968,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,Single Adults,Guatemala,Title 8,Apprehensions,2483,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,36,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,49,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,1,,,,,,,,,,,,
2019,FYTD,MAY,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,59,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,12,,,,,,,,,,,,
2021,FYTD,DEC,U.S. Border Patrol,FMUA,Guatemala,Title 42,Expulsions,736,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,UC / Single Minors,El Salvador,Title 42,Expulsions,1,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Single Adults,Guatemala,Title 42,Expulsions,41,,,,,,,,,,,,
2020,FYTD,JUN,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,28,,,,,,,,,,,,
2019,FYTD,AUG,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,913,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,FMUA,Other,Title 8,Inadmissibles,112,,,,,,,,,,,,
2021,FYTD,JUL,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,2057,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Accompanied Minors,Guatemala,Title 8,Inadmissibles,1,,,,,,,,,,,,
2019,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,752,,,,,,,,,,,,
2021,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 42,Expulsions,4270,,,,,,,,,,,,
2021,FYTD,OCT,Office of Field Operations,UC / Single Minors,Other,Title 42,Expulsions,2,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,UC / Single Minors,Guatemala,Title 8,Apprehensions,1540,,,,,,,,,,,,
2021,FYTD,JAN,Office of Field Operations,Single Adults,Mexico,Title 42,Expulsions,1534,,,,,,,,,,,,
2019,FYTD,APR,Office of Field Operations,Accompanied Minors,Other,Title 8,Inadmissibles,8,,,,,,,,,,,,
2021,FYTD,AUG,Office of Field Operations,FMUA,Honduras,Title 8,Inadmissibles,1901,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,FMUA,Guatemala,Title 8,Apprehensions,18,,,,,,,,,,,,
2019,FYTD,MAR,U.S. Border Patrol,FMUA,Other,Title 8,Apprehensions,2580,,,,,,,,,,,,
2020,FYTD,NOV,Office of Field Operations,UC / Single Minors,Mexico,Title 8,Inadmissibles,232,,,,,,,,,,,,
